,interviewee_name,shelfmarks
0,Abraham Malnik,"[u'USHMM RG-50.030*0145', u'USHMM RG-50.042*0019']"
1,Amalie P. Salsitz,"[u'USHMM RG-50.549.02*0054', u'USHMM RG-50.030*0198']"
2,Anita M. Frank,"[u'USHMM RG-50.030*0072', u'USHMM RG-50.549.01*0017']"
3,Ann Callman,"[u'USHMM RG-50.150*0002', u'USHMM RG-50.150*0001']"
4,Anna Leiser-Kleinhaus,"[u'USHMM RG-50.030*0286', u'USHMM RG-50.549.01*0016']"
5,Arlette de Long,"[u'USHMM RG-50.233*0075', u'USHMM RG-50.106*0063', u'USHMM RG-50.029*0031']"
6,Aron Derman,"[u'USHMM RG-50.030*0299', u'USHMM RG-50.233*0020']"
7,Avraham Tory,"[u'USHMM RG-50.030*0315', u'USHMM RG-50.030*0234', u'USHMM RG-50.471*0013', u'USHMM RG-50.030*0316']"
8,Barbara Marton Farkas,"[u'USHMM RG-50.030*0070', u'USHMM RG-50.549.01*0008']"
9,Bella J. Tovey,"[u'USHMM RG-50.549.01*0011', u'USHMM RG-50.042*0028', u'USHMM RG-50.030*0236']"
10,Bella Mischkinsky,"[u'USHMM RG-50.030*0340', u'USHMM RG-50.549.02*0017']"
11,Beno Helmer,"[u'USHMM RG-50.549.02*0064', u'USHMM RG-50.030*0093']"
12,Blanka Rothschild,"[u'USHMM RG-50.549.02*0057', u'USHMM RG-50.030*0281', u'USHMM RG-50.549.03*0003']"
13,Boleslaw Brodecki,"[u'USHMM RG-50.549.02*0070', u'USHMM RG-50.030*0040', u'USHMM RG-50.470*0001']"
14,Carla H. Lessing,"[u'USHMM RG-50.549.02*0050', u'USHMM RG-50.030*0126']"
15,Cecilie Klein-Pollak,"[u'USHMM RG-50.549.02*0012', u'USHMM RG-50.042*0018']"
16,Chaim Engel,"[u'USHMM RG-50.030*0066', u'USHMM RG-50.042*0009', u'USC Shoah Foundation 7683']"
17,Cornelius Loen,"[u'USHMM RG-50.030*0137', u'USHMM RG-50.549.02*0056']"
18,David Klebanow,"[u'USHMM RG-50.030*0104', u'USC Shoah Foundation 10644']"
19,Doriane Kurz,"[u'USHMM RG-50.030*0120', u'USHMM RG-50.549.02*0001']"
20,Dr. Paul A. Strassmann,"[u'USHMM RG-50.030*0227', u'USHMM RG-50.549.02*0076']"
21,Drexel A. Sprecher,"[u'USHMM RG-50.030*0219', u'USHMM RG-50.549.02*0004']"
22,Eddie H. Willner,"[u'USHMM RG-50.030*0252', u'USHMM RG-50.549.02*0065']"
23,Edward Lessing,"[u'USHMM RG-50.030*0127', u'USHMM RG-50.549.02*0051']"
24,Ernest Koenig,"[u'USHMM RG-50.030*0112', u'USHMM RG-50.549.02*0003']"
25,Ernst Weihs,"[u'USHMM RG-50.030*0248', u'USHMM RG-50.042*0031']"
26,Erwin (Froim),"[u'USHMM RG-50.549.01*0007', u'USHMM RG-50.030*0016']"
27,Estelle Klipp,"[u'USHMM RG-50.549.02*0059', u'USHMM RG-50.030*0346']"
28,Esther T. Raab,"[u'USHMM RG-50.030*0184', u'USHMM RG-50.042*0023']"
29,Esthy Adler,"[u'USHMM RG-50.549.01*0003', u'USHMM RG-50.030*0004']"
30,Eugene Miller,"[u'USHMM RG-50.030*0585', u'USHMM RG-50.233*0097']"
31,Fela Warschau,"[u'USHMM RG-50.030*0303', u'USHMM RG-50.549.02*0044']"
32,Felicia K. Weingarten,"[u'USHMM RG-50.156*0056', u'USHMM RG-50.043*0010']"
33,Felix Horn,"[u'USHMM RG-50.030*0294', u'USHMM RG-50.549.01*0018']"
34,Flory Jagoda,"[u'USHMM RG-50.030*0342', u'USHMM RG-50.549.02*0073']"
35,Fred Deutsch,"[u'USHMM RG-50.549.02*0034', u'USHMM RG-50.030*0274']"
36,Fred R. Wohl,"[u'USHMM RG-50.030*0255', u'USHMM RG-50.549.02*0077']"
37,Fritz Schnaittacher,"[u'USHMM RG-50.030*0325', u'USHMM RG-50.549.01*0026']"
38,Fritzie W. Fritzshall,"[u'USHMM RG-50.549.02*0020', u'USHMM RG-50.030*0075']"
39,"G., Leo,","[u'Fortunoff HVT-158', u'Fortunoff HVT-162']"
40,Gerald Grossman,"[u'USHMM RG-50.233*0048', u'USC Shoah Foundation 3848']"
41,Gisela Konopka,"[u'USHMM RG-50.156*0030', u'USC Shoah Foundation 9156']"
42,Guta B. Weintraub,"[u'USHMM RG-50.030*0250', u'USHMM RG-50.549.02*0060']"
43,Haim Solomon,"[u'USHMM RG-50.030*0353', u'USHMM RG-50.549.02*0075']"
44,Hannah Kalman,"[u'USHMM RG-50.106*0118', u'USHMM RG-50.106*0133']"
45,Harold Zissman,"[u'USHMM RG-50.030*0331', u'USHMM RG-50.549.02*0062', u'USHMM RG-50.030*0318']"
46,Harry Alexander,"[u'USHMM RG-50.030*0007', u'USHMM RG-50.549.01*0001']"
47,Helen H. Waterford,"[u'USHMM RG-50.042*0029', u'USHMM RG-50.030*0246']"
48,Helen L. Goldkind,"[u'USHMM RG-50.030*0083', u'USHMM RG-50.233*0036', u'USHMM RG-50.106*0139']"
49,Hinda Kibort,"[u'USHMM RG-50.156*0028', u'USHMM RG-50.043*0004']"
50,Irene Frisch,"[u'USHMM RG-50.059*0004', u'USHMM RG-50.233*0030']"
51,Irene Hizme,"[u'USHMM RG-50.030*0320', u'USHMM RG-50.233*0056', u'USHMM RG-50.549.01*0004']"
52,Irving Horn,"[u'USHMM RG-50.029*0021', u'USHMM RG-50.233*0057']"
53,Isaac Danon,"[u'USHMM RG-50.549.02*0038', u'USHMM RG-50.030*0058']"
54,Jack Ahrens,"[u'USHMM RG-50.030*0311', u'USHMM RG-50.549.02*0037']"
55,Jacob Wiener,"[u'USHMM RG-50.030*0425', u'USHMM RG-50.030*0249', u'USC Shoah Foundation 21349']"
56,Jerry Slivka,"[u'USHMM RG-50.549.02*0027', u'USHMM RG-50.030*0215']"
57,John Glustrom,"[u'USHMM RG-50.010*0040', u'USHMM RG-50.920*0002']"
58,John Komski,"[u'USHMM RG-50.470*0013', u'USHMM RG-50.030*0115', u'USHMM RG-50.042*0016']"
59,Joseph Elman,"[u'USHMM RG-50.030*0390', u'USHMM RG-50.549.02*0080']"
60,Judith B. Meisel,"[u'USHMM RG-50.549.02*0035', u'USHMM RG-50.030*0157']"
61,Julian Noga,"[u'USHMM RG-50.030*0171', u'USHMM RG-50.549.02*0066']"
62,Kurt Klein,"[u'USHMM RG-50.042*0015', u'USHMM RG-50.030*0106', u'USC Shoah Foundation 9730']"
63,Leo Hanin,"[u'USHMM RG-50.549.02*0036', u'USHMM RG-50.030*0090']"
64,Leopold Page,"[u'USHMM RG-50.042*0022', u'USC Shoah Foundation 293']"
65,Liane Reif-Lehrer,"[u'USHMM RG-50.549.02*0043', u'USHMM RG-50.233*0108', u'USHMM RG-50.030*0186']"
66,Lillian Bielsky-Bell,"[u'USHMM RG-50.030*0026', u'USC Shoah Foundation 23131']"
67,Lilly A. Malnik,"[u'USHMM RG-50.042*0020', u'USHMM RG-50.030*0146']"
68,Lily Margules,"[u'USHMM RG-50.233*0084', u'USHMM RG-50.549.01*0021']"
69,Lonia Mosak,"[u'USHMM RG-50.030*0166', u'USHMM RG-50.549.02*0045']"
70,Louis Goldman,"[u'USHMM RG-50.165*0033', u'USC Shoah Foundation 868']"
71,Madeline Deutsch,"[u'USHMM RG-50.030*0060', u'USHMM RG-50.549.01*0027']"
72,Magda Blau,"[u'USHMM RG-50.030*0030', u'USC Shoah Foundation 19441']"
73,Marty Glickman,"[u'USHMM RG-50.030*0079', u'USHMM RG-50.429*0004']"
74,Masha Loen,"[u'USHMM RG-50.549.02*0053', u'USHMM RG-50.030*0138']"
75,Max Grosblat,"[u'USHMM RG-50.156*0018', u'USC Shoah Foundation 11957']"
76,Max Liebmann,"[u'USHMM RG-50.030*0134', u'USHMM RG-50.233*0073']"
77,Mayer Adler,"[u'USHMM RG-50.462*0028', u'USHMM RG-50.030*0005']"
78,Michael A. Diamond,"[u'USHMM RG-50.030*0061', u'USHMM RG-50.549.02*0039']"
79,Michael Vogel,"[u'USHMM RG-50.549.02*0007', u'USHMM RG-50.030*0240']"
80,Morris Kesselman,"[u'USHMM RG-50.165*0053', u'USC Shoah Foundation 14715']"
81,Mr. Abraham Malach,"[u'USHMM RG-50.549.02*0042', u'USHMM RG-50.030*0144']"
82,Mr. Emanuel Mandel,"[u'USHMM RG-50.549.02*0072', u'USHMM RG-50.030*0147']"
83,Mr. Francis Akos,"[u'USHMM RG-50.549.02*0021', u'USHMM RG-50.030*0006']"
84,Mr. Fred Bachner,"[u'USHMM RG-50.549.02*0032', u'USHMM RG-50.030*0012']"
85,Mr. Gerald S. von Halle,"[u'USHMM RG-50.030*0241', u'USHMM RG-50.549.02*0055']"
86,Mr. Leo Bretholz,"[u'USHMM RG-50.549.02*0016', u'USHMM RG-50.042*0008', u'USHMM RG-50.030*0038']"
87,Mr. Morris Kornberg,"[u'USHMM RG-50.030*0116', u'USHMM RG-50.549.02*0061']"
88,Mrs. Charlene P. Schiff,"[u'USHMM RG-50.549.02*0068', u'USHMM RG-50.233*0120']"
89,Mrs. Lucie S. Rosenberg,"[u'USHMM RG-50.549.02*0078', u'USHMM RG-50.030*0471']"
90,Mrs. Sibylle S. Niemoeller,"[u'USHMM RG-50.030*0490', u'USHMM RG-50.462*0094']"
91,Mrs. Simone W. Lipman,"[u'USHMM RG-50.549.02*0018', u'USHMM RG-50.030*0136']"
92,Ms. Agnes M. Adachi,"[u'USHMM RG-50.042*0002', u'USHMM RG-50.549.01*0002', u'USHMM RG-50.462*0051']"
93,Ms. Anny R. Kast,"[u'USHMM RG-50.549.01*0015', u'USHMM RG-50.030*0102']"
94,Ms. Barbara L. Rodbell,"[u'USHMM RG-50.549.02*0019', u'USHMM RG-50.030*0192']"
95,Ms. Elizabeth Koenig,"[u'USHMM RG-50.030*0111', u'USHMM RG-50.549.02*0002']"
96,Ms. Eva B. Cooper,"[u'USHMM RG-50.549.02*0047', u'USHMM RG-50.030*0056']"
97,Ms. Frima L.,"[u'USHMM RG-50.549.02*0030', u'USHMM RG-50.030*0123']"
98,Ms. Johanna E. Liebmann,"[u'USHMM RG-50.233*0072', u'USHMM RG-50.030*0133']"
99,Ms. Nesse G. Godin,"[u'USHMM RG-50.470*0006', u'USHMM RG-50.030*0080']"
100,Ms. Regina L. Gelb,"[u'USHMM RG-50.549.02*0013', u'USHMM RG-50.030*0410', u'USHMM RG-50.549.03*0002']"
101,Ms. Selma S. Engel,"[u'USHMM RG-50.233*0024', u'USHMM RG-50.030*0067', u'USHMM RG-50.042*0010']"
102,Ms. Theodora Klayman,"[u'USHMM RG-50.030*0470', u'USHMM RG-50.549.02*0079']"
103,Nathan Krieger,"[u'USHMM RG-50.165*0058', u'USC Shoah Foundation 9558']"
104,Norbert Wollheim,"[u'USHMM RG-50.042*0032', u'USHMM RG-50.030*0257']"
105,Norman C. Belfer,"[u'USHMM RG-50.549.02*0063', u'USHMM RG-50.030*0367']"
106,Norman Salsitz,"[u'USHMM RG-50.233*0119', u'USHMM RG-50.549.03*0004', u'USHMM RG-50.030*0199', u'USHMM RG-50.002*0088', u'USHMM RG-50.549.02*0052', u'USC Shoah Foundation 3331']"
107,Paul Wos,"[u'USHMM RG-50.030*0480', u'USHMM RG-50.233*0141', u'USC Shoah Foundation 25834']"
108,Paulette Fink,"[u'USHMM RG-50.156*0012', u'USHMM RG-50.042*0011', u'USC Shoah Foundation 11744']"
109,Per Anger,"[u'USHMM RG-50.462*0001', u'USHMM RG-50.030*0301', u'USC Shoah Foundation 12289']"
110,Pnina Tory,"[u'USHMM RG-50.471*0014', u'USHMM RG-50.030*0235']"
111,"R., Michael,","[u'Fortunoff HVT-26', u'Fortunoff HVT-159']"
112,Rabbi Judah Nadich,"[u'USHMM RG-50.030*0169', u'USHMM RG-50.010*0063', u'USHMM RG-50.470*0017']"
113,Ralph Rehbock,"[u'USHMM RG-50.031*0061', u'USHMM RG-50.031*0060']"
114,Regina Goldstein,"[u'USHMM RG-50.165*0035', u'USC Shoah Foundation 3820']"
115,Renata Laqueur,"[u'USHMM RG-50.549.02*0010', u'USHMM RG-50.030*0370']"
116,Robert Fisch,"[u'USHMM RG-50.156*0013', u'USC Shoah Foundation 14292']"
117,Rochelle B. Slivka,"[u'USHMM RG-50.549.02*0026', u'USHMM RG-50.030*0216']"
118,Rosalie L. Lerman,"[u'USHMM RG-50.030*0396', u'USHMM RG-50.165*0064']"
119,Ruth Berger,"[u'USHMM RG-50.322*0026', u'USHMM RG-50.165*0003']"
120,Ruth K. Meyerowitz,"[u'USHMM RG-50.030*0161', u'USHMM RG-50.549.02*0022']"
121,Sam Ackos,"[u'USHMM RG-50.156*0002', u'USHMM RG-50.156*0003']"
122,Sam Bankhalter,"[u'USHMM RG-50.156*0004', u'USHMM RG-50.042*0005']"
123,Sam Goldberg,"[u'USHMM RG-50.042*0012', u'USHMM RG-50.005*0017']"
124,Sam Spiegel,"[u'USHMM RG-50.106*0126', u'USHMM RG-50.030*0324']"
125,Samuel Flor,"[u'USHMM RG-50.030*0295', u'USHMM RG-50.462*0105']"
126,Samuel Makower,"[u'USHMM RG-50.462*0041', u'USHMM RG-50.030*0388']"
127,Semyon Menyuk,"[u'USHMM RG-50.030*0159', u'USHMM RG-50.233*0090', u'USC Shoah Foundation 26447']"
128,Shony A. Braun,"[u'USHMM RG-50.042*0007', u'USHMM RG-50.030*0036']"
129,Siegfried Halbreich,"[u'USHMM RG-50.042*0013', u'USC Shoah Foundation 10']"
130,Sol Urbach,"[u'USHMM RG-50.233*0139', u'USC Shoah Foundation 8784']"
131,Stefan Czyzewski,"[u'USHMM RG-50.030*0387', u'USHMM RG-50.549.02*0023']"
132,Sulamif S. Zhabinskaya,"[u'USHMM RG-50.030*0399', u'USHMM RG-50.030*0401']"
133,Thomas Buergenthal,"[u'USHMM RG-50.549.03*0001', u'USHMM RG-50.030*0046', u'USHMM RG-50.549.01*0005', u'USHMM RG-50.165*0010']"
134,Thomas T. Blatt,"[u'USHMM RG-50.030*0028', u'USHMM RG-50.549.01*0014']"
135,Tom Lantos,"[u'USHMM RG-50.165*0121', u'USC Shoah Foundation 25591']"
136,Walter Meyer,"[u'USHMM RG-50.030*0371', u'USHMM RG-50.549.02*0041', u'USHMM RG-50.030*0746']"
137,William Denson,"[u'USHMM RG-50.030*0268', u'USC Shoah Foundation 13079']"
138,William Loew,"[u'USHMM RG-50.030*0307', u'USHMM RG-50.549.01*0006']"
139,William Luksenburg,"[u'USHMM RG-50.030*0140', u'USHMM RG-50.106*0102']"
140,William P. Levine,"[u'USHMM RG-50.030*0129', u'USHMM RG-50.031*0040']"
141,William Perl,"[u'USHMM RG-50.030*0443', u'USC Shoah Foundation 24409']"
142,Zelda P. Brodecki,"[u'USHMM RG-50.470*0002', u'USHMM RG-50.549.02*0071', u'USHMM RG-50.030*0041']"
